,PH,TTP,AUC,MTT,Max_Df,BAT,PH_Frame,AUC0.5,AUC1,AUC1.5,AUC2.0
ANY_382_View1,0.290357894661178,3.7,1.1397847404077686,4.9,0.02079309072003164,1.1,11,0.393214971376751,0.979512461939605,1.1378403824608383,1.1378403824608383
ANY_382_View2,0.23235303341205896,2.7,1.186125423523036,7.000000000000001,0.018671485824863478,0.5,8,0.5520998424997932,1.0786122179611752,1.1824335623752193,1.1824335623752193
ANY_190,21.387128549797712,1.8,79.39242596832902,4.4,4.150402397764768,1.1,5,38.51494289661402,74.46690332106203,79.35925771559018,79.35925771559018
ANY_377,0.126192890791239,0.9,0.06521867156370377,0.4,0.034548853783890394,0.0,3,0.0036181195100564757,0.008269836528358478,0.012210745947794885,0.024250390875212816
ANY_139,7.3512510022834725,5.800000000000001,47.1591161229303,7.600000000000001,0.649331266650103,1.3,16,20.989278202710093,44.11218989207083,47.0811183191827,47.0811183191827
ANY_312_View1,11.195903053284887,7.300000000000001,43.70235247727242,4.300000000000001,0.5361213175557191,2.2,18,10.633641883166396,31.293457225901474,43.40440277276689,43.40440277276689
ANY_312_View2,10.666447069838737,7.5,49.15637933703164,5.0,0.7519990893899111,1.4000000000000001,18,11.872160463238323,36.31617069135149,48.92569979380788,48.92569979380788
ANY_375,0.20410799644260738,0.5,0.12082971916805316,0.6000000000000001,0.05952609924668216,0.0,1,0.025290351308820076,0.08248037762978594,0.12125243278314081,0.1210624158397717
ANY_109,6.158420297672515,1.8,24.28201463445412,4.7,0.8041473600528126,0.5,5,11.036925522042146,22.74266045168335,24.218204549072357,24.218204549072357
ANY_127,3.801591572931027,1.5,11.450080901503357,3.8,0.9069686606216392,0.9,4,5.518089740948831,10.267517459503216,11.444670770101814,11.444670770101814
ANY_141,15.871748387834888,2.3000000000000003,39.526084398028814,3.0,1.7824201336827827,0.8,7,13.786054940437865,33.59992570705512,39.416209966003706,39.416209966003706
ANY_146,20.713339814828423,6.2,-280.89084406714727,5.0,0.9965214649118663,1.1,17,25.708742727634256,68.55853145956036,68.86935909197965,-280.96794792509417
ANY_162,22.30332283247257,1.4000000000000001,68.49849639035168,2.3000000000000003,3.692885244431767,0.6000000000000001,4,16.109608964580055,38.596429421799705,49.149209346093244,57.778551967051456
ANY_182,3.973073046263733,3.2,13.396457192428244,3.7,0.37130005245773856,0.7000000000000001,10,4.773221123975466,11.82143147884026,13.32714383623976,13.32714383623976
ANY_376,16.41770205096602,2.2,51.577558463263145,5.200000000000001,4.15010283316212,1.3,7,31.196052620582545,49.30836579379414,51.756692388736745,51.756692388736745
ANY_147,4.062699113087071,5.1000000000000005,26.452715538745238,8.0,0.536794049791706,1.4000000000000001,15,14.198105972957663,24.71377129689985,26.455593158298363,26.455593158298363
ANY_394_View1,1.375013103770896,2.6,7.355471801195398,5.5,0.1270133195469616,0.6000000000000001,8,2.9171210578326088,6.565441548717493,7.345618471934452,7.345618471934452
ANY_394_View2,0.5860519555038319,1.7000000000000002,2.6281811020569625,5.2,0.07488621846311042,0.6000000000000001,5,1.2149697399511972,2.4044376321652563,2.6230565943480286,2.6230565943480286
ANY_322,3.3451043847499116,2.8000000000000003,19.59022087619626,7.1,0.3972044529258588,1.0,8,9.535002005991563,18.563792685291357,19.584229422290743,19.584229422290743
ANY_350,14.557888286665646,3.1,43.721145875475024,3.2,1.2057296536442914,0.4,9,6.032682740864793,27.024526146011084,43.50999353892575,43.50999353892575
ANY_306,11.065839920290307,2.9000000000000004,51.08363952963963,4.9,1.6222205617066283,1.3,9,21.83329684611391,47.43670093307932,51.11008872958629,51.11008872958629
ANY_385_View1,14.448228774531279,2.8000000000000003,60.31220365431372,4.4,1.715363859247082,0.8,8,24.134935408764683,54.38940986125363,59.958722532317324,59.958722532317324
ANY_385_View2,15.023214397754108,2.5,74.60811876621844,5.6000000000000005,1.7366962443380287,0.5,8,34.04861143837839,69.67540701707998,74.5522582873932,74.5522582873932
ANY_362,0.08459472655320717,0.30000000000000004,0.084009815210102,1.3,0.05096441444807201,0.0,1,0.03867484269459229,0.0756006819811343,0.08386731829834253,0.08399529257638129
ANY_191,0.9613592784409238,2.1,1.9044955546062856,2.7,0.2934061273709878,0.8,6,0.4528354869964763,1.6069097144555744,1.902105085843826,1.902105085843826
ANY_351,11.373502863158977,3.3000000000000003,64.88456636873731,6.2,1.2253073961867935,0.8,10,27.44136572386098,59.37581816360232,64.69489608829481,64.69489608829481
ANY_339,2.1860026448710794,2.7,7.934289903754791,4.7,0.5688834155919248,1.6,8,4.0958046416877165,7.108512209503443,7.963560461597251,7.960658875423197
ANY_169,35.77171949256099,4.2,115.84534504534462,3.4000000000000004,2.4694508988550847,1.7000000000000002,13,33.27469293236487,92.28664436586898,114.06857999190298,114.06857999190298
ANY_137,6.506701133883487,4.9,18.785274274627053,3.1000000000000005,0.7756040968987652,1.4000000000000001,15,6.201956223682004,16.171935514927895,18.762701514401922,18.762701514401922
ANY_341,8.447178349337788,4.0,31.6807846274303,4.0,1.2362951325261773,1.2000000000000002,12,12.301610615656154,28.218837794115107,31.343337783561587,31.343337783561587
ANY_158,33.29556146509818,1.2000000000000002,37.07354577990964,1.0,8.654208871247334,0.6000000000000001,4,8.870877311676999,23.604008529782405,32.03641583674508,36.71096713927238
ANY_315,23.964924499021024,1.9000000000000001,43.16647745151444,1.2,3.9796372566537777,1.1,6,6.811055310483512,18.27915312600994,27.026322193426466,32.83107238751182
ANY_366,59.98826649092082,2.8000000000000003,117.4224276911957,1.7,10.5398087772721,1.4000000000000001,8,27.055094110417983,78.97145258073607,104.29456351245955,115.80164251079614
ANY_166,14.202050164956626,3.7,97.84185509399525,7.300000000000001,3.0266235890291493,0.7000000000000001,11,40.09564047915914,88.32878914291605,97.25899707529265,97.25899707529265
ANY_149,4.924007758247243,2.1,17.388591795538336,4.300000000000001,0.9028593106927848,0.4,6,5.321594071655332,14.052126427936573,17.29257327142775,17.29257327142775
ANY_180,19.579385171846937,2.5,82.41938345620056,4.1000000000000005,2.6968779272482406,1.1,8,27.890992023871416,57.885640012607176,73.6135596883138,80.03998995261519
ANY_349,3.7711514891016065,6.1000000000000005,23.966139295637973,6.8999999999999995,0.4827279087929159,1.3,16,10.467788496964857,22.35185760264368,23.949342532509817,23.949342532509817
